,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499
0,80,51,82,49,96,29,4,90,49,87,73,11,75,93,47,78,78,42,56,9,79,12,55,36,77,3,79,13,5,35,53,23,83,86,52,55,64,89,43,63,95,47,60,95,22,71,84,19,82,48,4,41,90,48,33,44,5,62,18,67,75,10,17,90,48,33,87,67,90,78,89,71,23,17,37,72,78,49,57,84,33,7,28,72,87,60,73,44,9,77,1,80,88,8,97,6,66,53,27,36,29,22,49,36,16,31,69,69,58,43,33,13,51,80,63,38,2,47,47,79,47,88,47,47,80,93,37,1,36,18,28,30,58,46,90,28,3,48,59,28,78,90,13,69,92,63,4,32,42,14,60,72,39,51,4,27,45,90,61,2,17,67,76,81,21,29,37,11,2,8,63,28,29,82,93,40,51,45,10,94,54,43,69,88,85,9,68,89,21,67,90,70,64,28,78,26,50,92,3,53,13,3,48,96,64,61,86,5,36,58,54,74,39,97,2,98,42,40,59,20,47,17,75,90,13,37,42,8,56,67,57,41,27,56,12,36,85,40,85,75,25,68,24,33,33,80,68,49,36,84,94,68,25,11,11,16,75,61,62,96,92,71,21,45,96,41,35,75,70,14,90,64,21,14,86,28,59,72,57,27,43,40,84,39,75,60,48,91,40,16,32,79,89,52,64,96,15,27,73,36,38,92,8,42,47,67,15,38,57,24,82,56,34,26,38,33,3,32,60,69,35,37,53,49,55,83,58,37,89,12,34,48,21,72,27,64,36,43,84,52,85,12,58,16,12,14,80,29,70,11,44,82,21,50,34,71,82,59,4,32,39,96,85,95,89,31,23,87,82,69,80,67,64,41,58,7,88,91,37,98,61,94,79,83,67,20,56,43,50,90,7,86,30,62,91,40,92,12,45,9,74,19,67,65,14,18,20,51,14,60,72,31,52,79,94,26,22,72,92,76,41,21,69,94,16,70,73,83,19,73,96,78,30,41,77,40,49,53,51,59,77,13,85,78,28,15,82,42,96,36,7,48,31,34,95,50,7,61,84,63,46,27,4,80,22,32,63,85,87,86,35,55,29,43,37,71,37,4,93,14,52,89,18,45,19,20,10,94,58,35,51,65,51,3,59,33,38,82,94,91
1,66,76,82,10,88,65,88,47,47,71,36,62,22,29,69,30,69,48,75,92,5,48,20,21,5,93,80,83,41,86,29,61,2,55,57,47,91,75,45,61,91,88,77,10,58,37,29,35,12,68,39,4,39,97,82,47,39,19,98,36,25,71,25,65,47,54,30,25,4,75,81,28,92,81,74,70,37,84,13,25,48,93,77,4,77,48,91,52,58,67,84,59,35,24,70,28,59,7,10,5,1,53,32,23,63,73,8,77,50,59,85,34,95,88,48,28,32,31,27,45,29,28,86,55,40,41,95,93,65,8,73,47,89,70,27,44,20,1,47,71,29,85,91,48,55,59,25,47,23,41,46,88,37,5,97,79,77,45,77,81,91,75,65,42,60,10,45,62,79,51,65,49,19,34,65,55,44,52,95,60,97,81,79,82,52,25,10,32,67,65,73,70,56,59,26,20,40,72,39,41,41,48,8,58,70,35,47,37,34,3,37,65,61,39,59,32,98,87,96,29,68,97,81,95,59,15,50,21,6,89,78,82,62,33,52,88,83,35,40,68,31,61,80,92,15,4,50,21,83,3,95,19,29,98,56,53,72,4,9,61,81,62,93,53,11,74,92,39,84,14,81,51,9,94,52,67,29,27,88,87,1,44,60,4,66,71,41,4,9,84,16,27,23,81,40,73,7,77,53,50,6,83,67,26,81,36,86,87,81,29,93,84,17,52,73,54,19,13,62,80,36,37,83,38,93,37,21,73,86,82,7,23,31,77,84,54,46,83,45,7,85,66,1,62,7,86,49,40,94,12,56,45,60,20,90,67,18,20,75,24,93,5,15,14,28,17,20,48,89,20,83,82,33,93,87,33,44,3,33,24,89,61,18,80,33,19,26,18,14,40,54,48,59,2,58,61,74,28,65,12,8,47,66,22,90,89,51,93,76,61,84,49,38,50,58,44,96,29,72,68,72,3,67,75,7,49,64,18,70,76,8,30,15,23,80,78,68,19,55,74,38,60,26,29,15,18,55,6,72,92,89,2,57,34,21,81,76,53,58,8,60,85,92,46,29,35,85,51,39,73,93,71,12,57,66,62,86,96,80,57,8,3,66,57,67,29,13,13,9,27,75,28,27,37,94,44,75,91,26,84
2,10,4,66,48,24,61,16,19,58,64,36,67,80,64,59,78,29,54,6,77,13,97,75,83,65,77,60,8,41,5,52,91,73,30,80,33,37,96,43,41,62,35,38,31,10,6,90,91,27,60,59,79,76,41,22,51,83,22,31,72,2,55,42,28,27,95,61,40,79,30,11,48,51,13,94,11,97,41,57,12,57,25,73,49,38,36,86,98,59,49,73,42,37,38,20,17,46,24,42,37,88,93,87,3,84,35,39,32,16,63,20,51,18,98,40,21,69,23,4,9,91,51,50,57,35,21,5,63,30,62,49,33,36,58,40,82,61,77,87,47,1,70,96,68,67,87,20,36,38,94,4,93,1,7,80,36,86,79,10,28,72,85,89,34,35,54,32,67,6,87,94,68,93,52,59,7,50,20,4,18,42,33,13,14,92,15,50,49,21,82,96,30,28,21,23,44,39,1,12,42,94,46,21,87,16,68,96,64,7,35,26,44,86,75,25,90,13,35,5,38,63,59,52,85,41,90,53,43,92,75,63,50,8,1,49,30,31,76,2,42,44,79,42,34,31,89,26,34,77,96,29,25,27,58,79,39,29,42,59,21,66,72,73,22,60,7,53,34,68,82,3,6,65,31,97,16,44,17,25,27,72,33,1,29,19,47,82,31,90,30,23,25,74,77,5,25,75,74,77,35,29,49,13,65,45,98,35,66,9,15,22,38,6,57,43,53,30,91,86,2,63,32,88,25,47,29,83,31,63,50,64,45,87,65,2,32,27,7,62,46,95,71,12,8,98,12,1,53,89,62,77,92,67,15,81,43,15,45,26,30,88,30,50,74,95,2,79,75,85,3,70,78,89,10,22,5,25,17,85,2,73,65,27,74,92,20,57,67,36,13,75,73,7,12,62,22,53,11,10,58,23,48,80,90,10,96,51,57,48,36,89,41,2,65,43,2,21,16,65,71,39,48,97,61,39,41,8,25,66,3,16,82,3,54,86,88,11,36,14,11,33,98,89,84,41,26,92,95,24,7,18,38,26,62,10,92,18,25,48,71,29,96,54,62,3,4,3,73,45,85,84,78,63,7,22,72,29,37,23,91,79,83,51,4,88,40,11,3,75,70,57,71,37,84,60,24,48,41,10,18
3,35,77,98,22,27,20,42,14,27,27,7,85,65,62,53,8,63,19,18,86,89,52,20,78,63,9,69,55,9,61,96,54,35,32,45,78,50,4,75,67,91,18,78,53,58,72,51,43,56,65,49,65,84,4,79,89,42,48,2,79,36,49,29,60,59,39,7,3,72,73,12,11,66,49,77,60,46,19,37,47,17,52,4,38,5,60,16,92,12,21,35,55,73,81,86,62,67,64,42,80,30,58,8,10,85,7,92,15,86,3,4,3,78,92,56,53,42,70,10,39,54,90,98,81,44,69,97,27,17,71,35,10,6,52,39,56,94,44,14,20,15,68,59,16,65,50,82,61,63,23,37,26,74,89,45,48,31,40,13,45,63,43,41,6,69,20,66,96,83,16,25,24,94,57,67,46,57,53,30,11,40,6,56,35,41,71,1,80,95,7,13,85,24,26,52,98,31,97,59,59,84,13,87,57,90,12,20,72,62,54,6,64,89,71,3,22,27,50,9,48,83,54,93,68,29,2,33,64,75,9,87,34,69,65,66,65,32,3,5,63,22,62,59,18,89,2,30,88,51,21,67,30,13,41,33,69,79,31,32,19,64,90,69,90,32,35,60,28,94,30,3,86,88,72,33,42,84,98,62,18,58,38,55,84,85,60,6,7,4,87,7,92,37,64,2,67,7,64,49,72,47,74,56,4,14,25,66,43,57,80,97,23,23,32,31,85,58,45,71,71,11,89,38,82,71,94,92,62,42,53,9,43,65,42,45,36,78,30,66,34,6,24,9,73,45,93,2,98,13,62,14,28,84,36,50,49,12,40,84,34,30,78,70,71,42,59,11,40,77,50,11,81,91,84,69,35,22,73,14,1,2,75,86,16,21,51,19,85,98,67,29,90,93,71,1,86,10,46,84,34,71,37,5,39,85,49,1,3,85,95,97,13,45,56,67,89,8,98,91,26,66,72,31,40,84,21,79,88,52,43,17,17,16,2,65,49,23,67,77,90,51,79,10,93,11,58,56,36,48,41,21,71,31,28,67,78,27,30,47,76,87,90,66,79,61,8,54,66,31,56,19,76,94,21,1,92,52,76,20,6,23,68,97,74,18,82,90,33,5,73,13,43,64,84,72,87,28,8,5,44
4,63,25,38,66,86,77,4,98,3,39,84,73,67,78,57,71,77,10,75,31,41,28,32,61,21,12,29,42,57,74,17,52,41,31,12,24,24,8,71,93,19,53,81,89,78,35,83,20,44,34,75,92,59,21,57,54,11,87,60,51,40,37,3,46,61,28,65,17,2,35,23,63,94,90,16,12,76,52,12,89,24,31,23,33,24,94,22,57,40,58,88,37,85,13,58,16,94,95,65,74,5,29,21,48,76,68,3,86,11,54,48,21,73,34,13,46,23,97,38,86,89,26,3,3,19,89,73,11,9,44,16,19,89,11,61,53,88,82,58,62,42,97,43,37,24,80,65,73,95,39,25,54,45,83,55,62,1,24,3,18,20,52,9,87,98,40,79,83,96,7,52,6,53,75,65,52,48,70,11,84,63,9,68,30,18,22,4,58,24,80,25,79,70,74,60,7,96,47,27,14,21,67,58,44,33,63,98,87,9,44,51,91,47,59,71,12,62,78,42,91,6,58,93,68,90,53,84,71,9,63,15,93,26,10,81,44,14,43,6,11,66,68,64,60,43,20,30,18,38,71,81,23,33,49,73,48,74,88,67,88,42,81,57,21,79,78,60,80,7,68,51,95,54,11,9,85,80,78,72,30,90,36,80,98,69,50,27,48,81,15,77,52,22,82,61,54,96,11,15,38,18,56,88,52,3,46,80,1,79,97,34,6,87,67,76,42,36,59,10,63,13,72,42,15,30,60,11,30,19,68,72,69,58,76,51,66,32,28,21,47,96,92,12,8,25,95,60,86,14,16,81,60,97,98,70,65,22,3,23,79,34,25,93,14,59,85,35,53,17,63,90,36,91,43,5,29,57,13,93,36,77,50,98,77,95,78,37,70,89,74,2,84,27,54,31,49,48,5,36,71,39,41,86,4,33,19,79,46,82,6,11,43,38,95,72,92,36,23,31,5,1,40,90,68,81,97,19,18,97,67,25,66,75,42,87,61,94,23,12,29,75,23,49,76,69,83,28,25,94,37,10,31,38,43,16,46,7,88,82,24,75,90,18,16,44,7,58,21,87,85,53,30,41,36,24,7,45,73,51,34,90,47,4,26,88,94,48,60,46,22,35,87,50,7,68,62,26,92,44,39
5,57,60,66,55,65,44,71,89,26,19,44,41,6,95,12,24,15,27,19,47,68,17,29,87,12,20,12,53,87,90,35,50,10,39,64,47,34,18,20,3,85,96,37,58,91,39,52,6,95,70,7,35,72,76,26,4,37,26,18,83,20,33,30,87,37,85,1,69,71,24,45,21,2,1,83,27,13,46,49,67,68,24,25,98,18,49,37,74,75,77,87,4,66,3,92,66,92,86,91,96,62,47,46,95,10,75,58,31,30,65,64,86,21,33,72,38,98,58,20,98,73,82,49,28,42,29,74,37,67,77,56,40,26,63,81,98,20,20,8,74,30,57,47,9,29,88,27,26,32,67,7,85,74,76,32,79,51,30,97,25,52,40,31,48,14,2,57,48,92,72,89,56,93,77,50,38,79,84,20,26,79,86,50,33,84,7,10,16,96,62,33,93,92,54,87,68,59,92,37,11,89,65,40,10,25,87,76,66,28,23,51,2,20,17,59,11,67,4,88,98,52,10,2,41,86,21,25,78,50,85,36,66,48,43,19,2,35,19,87,12,33,88,86,82,77,10,26,34,52,30,44,71,4,29,90,5,17,82,47,27,93,38,59,66,45,88,40,68,40,89,24,64,81,23,94,30,94,88,23,28,37,25,44,77,66,10,71,70,44,63,53,78,23,45,83,40,63,80,89,49,64,17,94,88,97,4,84,29,51,28,59,31,95,76,30,93,80,71,41,62,44,13,41,14,91,3,19,3,5,25,19,84,64,37,6,86,33,55,54,42,70,56,28,72,12,34,53,26,68,43,37,37,98,24,15,60,85,62,45,24,75,11,30,93,13,63,33,33,96,70,18,26,76,10,56,7,36,55,8,77,64,7,86,54,57,19,7,28,8,61,41,98,19,7,87,19,3,44,74,13,68,9,38,12,58,92,82,14,49,10,84,47,43,45,24,50,57,31,75,37,88,15,9,74,88,62,70,16,12,58,89,95,6,66,20,6,24,71,4,50,2,84,28,88,44,29,41,35,11,26,66,23,61,58,41,69,63,56,10,54,26,87,46,14,6,71,35,51,49,60,65,26,81,56,2,54,21,83,4,21,41,86,72,26,34,15,48,12,5,67,41,11,40,80,21,56,37,87,85,16
6,21,80,53,39,52,6,42,33,19,53,76,36,83,77,45,2,61,64,53,9,73,45,82,96,88,42,94,53,87,6,60,42,6,56,45,41,59,14,62,50,13,89,26,79,2,13,31,93,97,23,29,54,58,70,18,92,13,50,42,23,98,2,39,63,61,49,19,39,80,38,67,31,4,80,55,38,49,64,26,79,49,31,29,2,32,16,13,27,38,55,94,96,78,86,80,65,98,78,82,93,6,4,17,25,75,95,58,20,75,36,81,48,2,87,1,88,83,94,11,97,69,7,10,28,66,37,67,21,4,51,70,56,45,80,38,25,63,54,20,60,1,56,9,32,29,84,60,85,95,98,41,12,67,90,59,77,95,62,47,29,19,5,90,68,24,61,10,43,89,46,81,1,9,3,8,32,33,1,59,80,95,36,89,87,31,90,79,45,6,6,31,66,84,47,71,45,86,26,24,15,41,5,78,66,93,62,57,95,93,72,76,79,70,35,4,40,23,97,45,27,49,31,36,95,11,19,76,39,93,78,65,64,8,32,34,62,33,92,36,57,4,69,46,43,93,1,84,87,22,12,61,58,94,46,28,83,63,7,72,41,55,66,7,65,89,7,55,1,3,18,65,98,4,35,24,37,80,4,87,46,27,29,79,37,95,42,46,6,8,60,45,24,11,15,38,58,64,97,27,74,64,30,2,80,48,94,56,66,12,52,58,93,69,67,33,59,8,75,12,66,96,74,31,40,31,54,63,62,98,66,47,71,84,56,59,3,38,27,2,72,45,23,79,16,4,28,11,43,63,57,50,16,64,29,7,36,51,30,92,73,6,86,92,90,4,79,66,52,20,1,20,64,38,51,4,93,47,62,80,75,16,31,31,58,80,90,5,14,33,80,27,32,19,69,17,7,59,98,82,71,51,19,92,24,60,13,57,86,22,15,41,6,45,96,21,50,98,90,40,55,62,58,48,9,79,93,52,42,74,20,24,4,87,91,22,85,33,87,47,18,1,77,31,59,6,93,31,94,41,43,6,66,52,27,11,62,94,42,11,30,29,88,72,66,45,75,19,46,24,43,96,22,52,41,38,77,5,36,72,94,29,24,21,71,89,73,70,39,44,63,68,72,11,75,18,78,82,28,19,39
7,63,83,1,11,71,96,18,56,83,69,23,53,38,30,71,44,64,62,78,39,63,86,46,62,24,49,55,17,72,65,53,2,3,44,60,17,84,57,35,5,62,77,58,24,80,12,90,36,83,43,87,92,75,84,60,25,27,10,71,69,21,59,24,69,46,79,36,39,17,22,39,87,64,21,56,80,7,34,15,56,50,7,69,43,41,66,73,40,45,62,34,83,96,80,40,67,30,94,1,8,37,57,46,86,10,60,79,59,42,44,47,74,70,43,37,60,90,43,4,73,52,11,49,96,42,53,69,11,85,55,66,24,12,39,56,4,5,45,70,81,80,96,23,97,78,31,91,15,77,26,59,30,55,27,81,33,13,42,53,43,7,25,3,30,73,9,82,34,82,28,61,36,31,16,96,71,73,43,72,98,76,86,55,35,95,41,61,74,53,50,52,49,44,75,6,15,46,26,21,39,88,63,19,88,70,18,26,9,16,92,86,32,39,29,79,16,34,40,77,9,60,71,32,22,98,65,35,12,36,26,71,30,29,45,71,53,60,94,52,12,52,88,73,41,25,67,51,18,30,68,36,56,7,31,24,41,55,92,1,27,63,31,24,74,10,62,84,94,41,37,10,47,89,36,76,81,62,3,80,46,95,44,10,87,41,3,57,6,96,97,20,92,32,57,53,41,46,33,93,87,93,62,92,84,72,59,35,52,90,36,24,51,3,58,78,86,17,70,21,76,35,51,38,78,26,54,34,66,81,17,41,89,26,95,67,37,48,17,21,54,43,18,62,57,36,59,28,12,49,22,38,75,93,43,39,20,72,16,89,19,86,98,54,29,71,92,33,60,49,53,13,87,16,34,5,41,35,62,93,91,39,90,52,49,55,76,1,72,93,62,33,73,73,37,52,7,91,72,41,72,35,34,44,16,95,10,70,1,29,37,35,55,60,91,25,35,17,6,3,59,39,26,19,78,78,95,36,31,96,66,40,23,13,21,3,38,94,66,37,80,11,2,39,7,20,16,98,42,97,67,59,49,58,45,31,67,92,70,10,29,72,23,82,16,93,44,10,16,95,18,81,41,43,12,22,76,3,84,19,88,50,40,36,71,77,6,90,48,53,63,25,68,49,37,38,8,65,82,61,66
8,44,19,30,14,5,76,95,66,62,95,74,9,73,80,41,65,96,20,87,59,10,61,20,69,67,6,63,29,87,4,49,13,79,49,69,35,21,32,87,90,2,54,42,71,57,64,25,48,57,25,70,21,19,55,39,40,22,45,55,7,44,46,59,74,62,1,18,22,97,12,83,89,44,59,18,10,12,59,75,22,15,84,42,68,84,66,70,81,71,24,53,67,89,79,49,84,20,82,6,90,82,58,41,34,31,20,2,38,1,69,51,39,20,57,47,73,94,40,96,75,71,41,64,28,39,36,73,74,4,29,16,70,46,30,54,24,55,28,17,58,36,37,40,52,45,50,96,97,21,1,66,19,56,72,58,21,78,27,9,51,36,39,27,92,97,28,44,42,72,44,59,28,48,36,80,30,78,4,45,91,13,21,33,58,26,9,14,61,87,61,76,51,46,29,69,66,67,64,84,33,62,55,86,60,58,37,70,77,76,7,57,9,49,66,13,55,57,59,19,90,4,3,52,95,71,80,56,13,95,15,49,75,38,32,3,85,93,68,21,58,82,74,24,15,81,40,8,52,53,72,13,4,92,29,76,78,70,35,82,79,13,36,88,85,30,50,89,23,58,25,95,32,53,30,95,22,53,59,72,45,31,95,70,27,35,37,18,29,86,88,5,21,21,47,94,83,25,31,59,9,13,13,73,36,57,81,55,13,3,25,50,66,74,37,9,40,17,15,45,48,13,69,85,19,14,80,88,95,89,91,11,92,93,4,8,84,87,71,52,96,16,66,37,46,52,38,70,93,82,68,52,13,13,54,64,64,42,54,69,74,57,30,18,28,83,80,75,26,42,33,95,6,80,57,78,37,77,88,93,51,43,63,53,46,74,98,43,63,37,88,40,60,67,26,40,25,25,50,56,93,10,10,50,34,53,64,94,15,19,28,48,1,34,71,23,80,9,70,33,17,90,70,77,60,41,87,37,51,15,18,76,49,68,18,29,87,39,19,86,76,53,8,43,42,10,30,84,57,83,47,18,16,58,7,64,6,82,87,6,53,76,43,13,22,38,82,56,24,88,70,66,70,57,64,34,69,94,15,15,21,69,21,45,28,11,24,65,12,42,38,65,55,45,50,98,16,12,61,40,8
9,79,43,8,65,13,87,1,85,50,18,6,10,58,56,97,83,20,88,36,17,46,5,16,8,87,35,7,31,85,45,96,88,52,2,84,40,43,91,2,46,56,45,44,76,65,81,31,78,23,68,1,40,42,71,51,86,48,52,76,46,54,73,67,45,90,39,42,17,1,64,37,49,66,74,32,29,30,83,85,35,3,42,43,18,16,85,55,37,91,33,27,95,45,19,41,98,84,78,79,24,24,96,87,52,64,15,56,23,11,77,33,72,58,19,51,9,16,6,8,6,48,12,33,72,40,88,93,74,33,23,62,85,95,33,45,30,8,40,66,53,7,3,83,93,32,54,59,72,67,75,48,62,41,21,55,14,12,61,51,58,66,92,28,69,21,9,80,91,45,23,15,73,56,25,63,22,85,72,86,48,55,94,56,65,76,87,12,40,63,20,65,4,60,64,43,95,82,39,17,79,85,27,27,45,74,59,66,79,23,59,61,66,52,29,64,7,18,67,35,78,96,7,9,71,54,89,2,51,3,41,65,12,74,31,78,60,28,14,21,6,86,47,53,40,86,43,32,29,70,52,64,94,97,78,53,79,85,87,76,92,29,85,28,87,44,36,55,35,16,42,9,57,34,28,34,34,78,64,86,94,50,18,47,87,40,61,19,69,91,49,26,52,61,45,18,54,62,8,60,70,25,9,78,23,95,88,98,13,78,10,11,8,22,95,16,59,25,83,14,66,45,22,60,48,48,80,63,23,6,10,33,72,76,98,41,95,58,81,76,57,58,77,91,17,36,11,16,3,67,94,80,65,76,93,80,4,91,87,11,14,24,43,86,2,12,9,28,73,30,44,89,46,43,51,58,73,81,40,46,48,55,75,22,22,39,79,74,19,68,10,32,63,34,29,15,3,13,35,34,2,16,73,83,5,23,53,7,92,66,25,3,97,22,71,59,81,19,75,74,4,26,89,50,86,90,46,9,60,13,16,68,39,8,89,96,75,7,75,41,95,10,37,3,59,20,55,85,78,80,67,41,30,35,74,86,48,24,5,87,1,48,84,27,57,18,62,53,70,51,94,30,43,65,42,65,27,30,69,51,82,50,52,4,23,29,18,47,8,78,18,80,2,84,27,44,28,70,15,82,57
